,Tweets
916,@SkyNews @skystephen Dawn breaks on former ‘United’ Kingdom. Many sectors struggling due to lack of EU migrant staff. Considering a trade deal to destroy UK farming. The bloke who negotiated the 'deal' says let's renegotiate Northern Ireland part of it. The bloke who inflicted it looks the other way. https://t.co/5maUCvZnhF
917,@mrjamesob Dawn breaks on former ‘United’ Kingdom. Many sectors struggling due to lack of EU migrant staff. Considering a trade deal to destroy UK farming. The bloke who negotiated the 'deal' says let's renegotiate Northern Ireland part of it. The bloke who inflicted it looks the other way. https://t.co/y9ZBpVfnOM
918,@jonworth @JohnWest_JAWS Dawn breaks on former ‘United’ Kingdom. Many sectors struggling due to lack of EU migrant staff. Considering a trade deal to destroy UK farming. The bloke who negotiated the 'deal' says let's renegotiate Northern Ireland part of it. The bloke who inflicted it looks the other way. https://t.co/8XDheBeAO1
919,@NickFerrariLBC @LBC Dawn breaks on former ‘United’ Kingdom. Many sectors struggling due to lack of EU migrant staff. Considering a trade deal to destroy UK farming. The bloke who negotiated the 'deal' says let's renegotiate Northern Ireland part of it. The bloke who inflicted it looks the other way. https://t.co/5B24DgtlAI
920,"€130m in cheap loans will become available to food businesses, farmers, and fishers in mid-2021, through the new Brexit Impact Loan Scheme.

https://t.co/Fg6Y5Lykde
 #farmer #fisher #baker #foodbusiness #ireland #irishbusiness"
921,Dawn breaks on former ‘United’ Kingdom. Many sectors struggling due to lack of EU migrant staff. Considering a trade deal to destroy UK farming. The bloke who negotiated the 'deal' says let's renegotiate Northern Ireland part of it. The bloke who inflicted it looks the other way. https://t.co/ec4jcGKYf2
922,Great to speak this morning with Ireland’s Minister for Agriculture @McConalogue on shared opportunities across our primary sectors. We agreed on the importance of continuing to work together on #SustainableFoodSystems and deepen 🇮🇪🇳🇿 partnership on sustainable farming solutions. https://t.co/H9jtUOTXLw
923,@daymaretwt He’s in Ireland bringing back the potato farming era
924,"@andrew_lilico @tomhfh So tarrif free access to our farming sector, decimating the hugely rural economies of Scotland, Wales and N. Ireland is the way to go for unity???"
925,"@Life_Disrupted ‘Alright, apart from farming, fishing, a trillion pounds worth of City of London assets, Scotland, Northern Ireland and freedom of movement, What have the Brexiteers done for us?’"
926,"@PhilipProudfoot Minimum wage law, gay rights, peace in Ireland via the good Friday agreement, banned fox hunting,working time regulations, banned fur farming,free tv licences for over 75s that the Tories dismantled,NHS performance best since 1948,stronger workers rights, Sure Start. Enough yet?"
927,"Politicians in Northern Ireland have voted to move a controversial #environmental bill a stage closer to becoming law despite warnings it has the potential to decimate the region’s agricultural industry.
@AgrilandIreland 
https://t.co/HTHylDl4dg"
928,Livestock marts across Ireland welcome buyers back ringside https://t.co/iRFPcaLPr8
929,"So we've lost farming, fishing, a trillion pounds worth of City of London assets, Scotland, Northern Ireland and freedom of movement. But the benefits of Brexit are...?"
930,"@vivamjm Any intrusion on land, north or south, though will not be tolerated - not a threat but a reality. The UKG  know this, they predicted it themselves in 2016. Plus NI would lose SM access, devastating farming, dairy and fishing here. &amp; Ireland controls our electricity grid.."
931,"So @JuliaHB1 @darrengrimes_ @Nigel_Farage
Banking
Fishing
Farming
Wine trade
Northern Ireland
Silversmithing
Exports
Logistics
Untold SMEs
&amp; not finished yet, &amp; now your poodle is hiring someone to find the benefits of what you pimped"
932,"'Breast cancer is one of the most common cancers in Ireland, with an estimated 3,700 people diagnosed each year' https://t.co/knJzoCJose"
933,"Northern Ireland's Climate Change Bill sets a net-zero target for GHG emissions by 2045.

Methane is the biggest pollutant generated by NI #agriculture, however, carbon dioxide emissions are relatively low in comparison. 

Read more @AgrilandUK 👇 

https://t.co/lRagvo552p"
934,Agricultural shows caught in a perfect storm... https://t.co/gUoU4RdS5m
935,'All of this is coming at a cost to the individual shows' https://t.co/CKLGidAV4J
936,Poots is thought to be the first Minister of Agriculture in Northern Ireland to have formal agricultural training https://t.co/cWYe1Q65NN
937,' Ireland generates over one million tonnes of food waste each year' https://t.co/TJWPSTs5n4
938,"@PeterStefanovi2 The break up of the UK- Scottish Independence.
Rise of instability in Ireland.
Trillions in financial investments to Frankfurt/ the US.
Exclusion from EU decision-making/loss of standing around the world.
Damage to dairy/farming/fishing/just-in-time industry
Wholesale job losses."
939,@BrigidLaffan The issue of S&amp;PS standards not being aligned with the EU's is knackering GB Farming too. I hope that the dairy production from Northern Ireland is at least making it into the EU? https://t.co/1quCa3QXp8
940,"@ao_leary @AnastasiaKLynch @FrodoTheHobo @LomaahhMore @grafov_alex @Bobby6172 @lisasimmons23 @dlsmith0817 @StewartMills @TelAvivbroker @belljud @TheZionist3 @AviKerem1 @robinsonmsr10 @NSRoundtable @RickSmol @MargolisShana @DaveMamnix @Wildflower1948 @Artspeakcentral @DanielD86829949 @realChaim_Rubin @danlivni @Scripteladora @e_neko_san @russianjewess @HawardDaniel @NKippur @AwadHam00113871 @OpinionMinister @realHasdaiC @MargieInTelAviv @Levi_Genes_ @moddyfire @JoeTobo @LeibovitzEytan @bklynymk @malkaavram @Leylakhalid22 @Mercurialnot @sonof_Egypt @HarrisMordechai @YellozH @TheGhostofElec1 @AKMacTavish @Anticonspiracy2 @FranticGrape @Byrnzie800 @son_pharaohs @AaIsrael2 Let’s see how far you get? 
To what “mother country” does Israel own allegiance? That would be easily answered if Israel were a colony, wouldn’t it? As an example, England using Ireland, its colony, to expand sheep farming &amp; hence, generate more wool for her home market economy."
941,"@MarkHouston1973 @JoniMacadaHupla @johnbouy1 @DavidGHFrost The DUP wanted a hard border in Ireland, they just didn’t understand that NI isn’t important to Westminster, Westminster is literally throwing the entire U.K. farming industry under Brexit bus for 0.02% gdp growth over 15 years."
942,"@JeremyClarkson I just finished watching the show full of pride as a farmer here in Ireland. Really enjoyed and appreciated  how you portrayed farming.
Thank you. https://t.co/1aHKbT4k8g"
943,Fighting Stigma: The medical expenses and procedures that qualify for income tax relief: Better still employees who receive free health insurance provided by their ... Costs incurred outside of Ireland also qualify for relief so long as the ... https://t.co/fCHfmDeyXM
944,#sundayvibes Very important message from Brian How R U?https://t.co/m6yA5G8P4C #MentalHealthMatters #friendship #Wellbeing @ConorHammersley @Aisling_Kiernan @martinprogan @vetspaceireland @joesph_leonard @PowellLeo @RennicksSonia @MentalHealthIrl @IrelandsFarmers @ifac_ireland https://t.co/grNrccFbof
945,"There are many versions of history in Northern Ireland (NI) but the importance of Harry Ferguson to farming is beyond challenge.
https://t.co/iiDfI0OYfK"
946,"blue passports - but no fish
blue passports - but no farming
blue passports - but no financial services
blue passports - but no fruit/veg pickers
blue passports - but no UK any more
blue passports - and a United Ireland
you won, get over it"
947,"FARMING: Dillon Tractor Dismantlers, Castleblaugh, Newtowncunningham, Co. Donegal - Call: 083 3200008 - is one of Ireland’s long...
https://t.co/1w201Txp3q"
948,"@Anna_Soubry But Anna it was project fear, like farming, fishing and Northern Ireland."
949,"Government called on to facilitate ‘population return’ to rural Ireland https://t.co/uISm9TRCqM #agriland

Les clubs de gaa 🤪 c'est un public précis 
🏙️↩️ pareil pour les villes 😈"
950,"#liarjohnsons record so far this year 
threaten peace in Northern Ireland
knock £2bn off exports
ruin the fishing industry
plan to ruin farming industry(Ausie trade deal) 
create labour shortages
increase red tape, bureaucracy and costs for businesses

A FUCKING GOOD YEAR https://t.co/7oZHvIz20o"
951,"@andrealeadsom What a load of desperate, gaslighting nonsense. Brexit has been a shambolic disaster...import/export trade ravaged, fishing devastated, farming going into managed decline, £1.2 trillion in assets gone to the EU, food/staff shortages, freedoms lost, N Ireland set ablaze. Abysmal."
952,"@andrealeadsom By destroying British fishing, British farming, other business sectors and cutting northern Ireland out of the UK. 

Tories have failed britain."
953,Clare cow (24) lives out her retirement on the farm #Doonbeg https://t.co/t3Jq1dwsdZ
954,Travelling down the M25 looking at the cows in the fields. Talking about @BBCCountryfile ep where the cows go in to be milked by theirselves at the farm in Ireland. Genuine question to farmers. How do you train a cow to do that? Very interested! #farming
955,"@angelneptustar @slimey_1 @SkiptomyLoulou I think you’ll find that a number of EU countries have now gone past us in terms of vaccinating their people. Let’s not get onto fishing, farming, massive reductions in our exports/imports, staff/food shortages, £1.2 trillion in assets lost to EU countries &amp; the N Ireland fiasco."
956,@LanceForman Northern Ireland? Farming? Sure you yourself must have some criticism of the government’s treatment for the fishing industry?
957,"@Rudy40675206 @wozbot1982 @davidschneider Pound dropped in value by 20 percent, exports down, borders not secure now less secure. More migrants,  less checks.  Splitting up Northern Ireland. Less influentia. Less significant. Sold out farming. Carppy trade deals.  Sold out fishing. Lack of labour.  keep waving your flag"
958,"@msjanebond007 Given the number of areas now in trouble over Brexit - farming, fishing, transport, banking, Northern Ireland etc I imagine support for it has faded considerably since January."
959,"@johnredwood That’s right Deadwood. Nothing at all to do with your Brexshit going south.
Health care staff shortages. N.Ireland given up. Food, farming and fishing industries on its knees. Hospitality finished. Haulage crippled. Export market collapsed. All that just for starters."
